Facility_ID,Facility_Name,CO2e_kt,Unit_Count,direct_use_heat_breakeven_price_USD_per_MMBTU,geophires_summary,Unit_Temp_degC,Temp_3000m,Temp_plus15C_Available_3000m,Latitude,Longitude,Temp_Gradient_degC_per_km
1006776,International Paper - Valliant Mill,6643.0,646,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",150.0,125,false,34.0,-95.11,37.5
1007942,CHS MCPHERSON REFINERY INC.,6601.0,216,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,125,false,38.35,-97.67,37.5
1006803,INTERNATIONAL PAPER SAVANNA MILL,6087.0,298,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",150.0,125,false,32.1,-81.12,37.5
1004874,WISCONSIN RAPIDS PAPER MILL,6021.0,1069,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",150.0,100,false,44.4,-89.83,37.5
1008310,DIAMOND SHAMROCK REFINING VALERO,5960.0,615,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,150,false,28.46,-98.19,37.5
1007923,SUNCOR ENERGY (USA) COMMERCE CITY REFINERY,5753.0,202,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,125,false,39.8,-104.95,37.5
1007964,"West Rock Mill Company, LLC",5264.0,593,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",150.0,125,false,32.45,-87.98,37.5
1006174,BUCKSPORT GENERATION LLC,5213.0,300,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",150.0,100,false,44.58,-68.81,37.5
1005123,S D WARREN CO,5141.0,304,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",150.0,100,false,43.69,-70.35,37.5
1005909,International Paper - Orange Mill,5123.0,568,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",150.0,125,false,30.22,-93.74,37.5
1006005,"CF Industries Nitrogen, LLC-Port Neal Nitrogen Complex",5008.0,87,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",260.0,125,false,42.33,-96.36,37.5
1007922,HollyFrontier Cheyenne Refining LLC,4915.0,88,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,125,false,41.13,-104.79,37.5
1006454,WESTROCK LONGVIEW LLC,4773.0,836,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",150.0,100,false,46.11,-122.93,37.5
1007917,"ALABAMA RIVER CELLULOSE, LLC",4683.0,921,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",150.0,125,false,31.58,-87.49,37.5
1007226,International Paper-Riegelwood,4042.0,875,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",150.0,125,false,34.35,-78.2,37.5
1006189,CHEVRON PRODUCTS CO - SALT LAKE REFINERY,4006.0,294,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,125,false,40.82,-111.92,37.5
1006565,"Cos-Mar Company, Styrene Monomer Plant",3959.0,256,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,125,false,30.23,-91.07,37.5
1005491,"AM/NS Calvert, LLC",3914.0,42,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",180.0,125,false,31.15,-87.98,37.5
1004962,Ascend Performance Materials LLC,3822.0,67,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",260.0,125,false,30.6,-87.25,37.5
1005769,HOLLYFRONTIER WOODS CROSS REFINING LLC,3646.0,66,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,125,false,40.88,-111.91,37.5
1006039,"Tesoro Refining and Marketing Company, Salt Lake City Refinery",3417.0,309,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,125,false,40.79,-111.9,37.5
